Field_Name,Field_Name_Catalan,Field_Name_WashU,Field_Name_CaseWestern,Field_Name_HenryFord,Field_Name_Jefferson,Field_Name_KCL,Field_Name_MDA,Field_Name_NYU,Field_Name_OSU,Field_Name_TMC,Field_Name_UAB,Field_Name_UPMC,Field_Name_TUM,Field_Name_UCSF
Filename,20210127_Catalan_CBICAmaster.csv,20220418_WashUGBM_ReSPONDmaster.csv,20210422_CW_CBICAmaster.csv,20211221_HF_CBICAmaster.csv,20220512_TJU_ReSPONDmaster.csv,20220317_KCL_ReSPONDmaster.csv,20220310_BraTS_MDA_UAB_WashU_ReSPONDmaster.csv,20210209_NYU_CBICAmaster.csv,20220811_OSU_ReSPONDmaster.csv,20210422_TMC_CBICAmaster.csv,20220310_BraTS_MDA_UAB_WashU_ReSPONDmaster.csv,20220110_UPMC_CBICAmaster.csv,20230529_TUM_ReSPONDmaster.csv,20220422_UCSF_ReSPONDmaster.csv
Site,"""Catalan""","""WashU""","""CaseWestern""","""HenryFord""","""Jefferson""","""KCL""","""MDA""","""NYU""","""OSU""","""TMC""","""UAB""","""UPMC""","""TUM""","""UCSF"""
Dataset,"""20210127_Catalan""","""20220418_WashUGBM""","""20210422_CW""","""20211221_HF""","""20220512_TJU""","""20220317_KCL""","""20220310_BraTS_MDA_UAB_WashU""","""20210209_NYU""","""20220811_OSU""","""20210422_TMC""","""20220310_BraTS_MDA_UAB_WashU""","""20220110_UPMC""","""20230529_TUM""","""20220422_UCSF"""
PTID_Original,Paciente,I3CRID,,,,,,,,,,,,
PTID,respond_id,RespondID,,,,,,,,,,,,
BL_ID,baseline_id,PreopID,,,,,,,,,,,,
RC_ID,,FollowupID,,,,,,,,,,,,
BL_MRI_Basic,all_structural,Baseline_allbasic,,,,,,,,,,,,
BL_MRI_Diff, *query, *query,,,,,,,,,,,,
BL_MRI_Perf, *query, *query,,,,,,,,,,,,
BL_MRI_ROIs, *query, *query,,,,,,,,,,,,
BL_MRI_Date,DATA_MRI_PRE_SURG,"""d0000""",,,,,,,,,,,,
BL_Surg_Date,DATA_SURG,,,,,,,,,,,,,
RC_Determination,RELAPSE_PROGRESSION,Recurrence (y),,,,,,,,,,,,
RC_Progression_Status,,,,,,,,,,,,,,
Near_Far_ROIs, *query, *query,,,,,,,,,,,,
RC_MRI_Basic, *query, *query,,,,,,,,,,,,
RC_MRI_Diff, *query, *query,,,,,,,,,,,,
RC_MRI_Perf, *query, *query,,,,,,,,,,,,
RC_MRI_ROIs, *query, *query,,,,,,,,,,,,
RC_MRI_Date,DATA_PROGRESSION,,,,,,,,,,,,,
RC_Surg_Date,,,,,,,,,,,,,,
Deceased,EXITUS,status,,,,,,,,,,,,
Survival,MONTHS_SURG_EXITUS,overall_survival_surgery,,,,,,,,,,,,
PFS,Data_progressio,days to progression/recurrance,,,,,,,,,,,,
Age,Age_diagnosis,age at diagnosis,,,,,,,,,,,,
Sex,SEX,Gender,,,,,,,,,,,,
Race, ,Race,,,,,,,,,,,,
Ethnicity, ,Ethnicity,,,,,,,,,,,,
EOR,RESECTION,EOR_respond,,,,,,,,,,,,
KPS,KARNOFSKY,,,,,,,,,,,,,
Radiation_Dose, ,,,,,,,,,,,,,
TMZ_Concurrent,TMZ_CONCO_COMPLETe,,,,,,,,,,,,,
TMZ_Adjuvant,NUMBER_TMZ_ADJ_CYCLES,Has the patient received post-operative adjuvant chemotherapy or hormonal therapy?,,,,,,,,,,,,
Chemo_Other, (TYPE_TREAT_RELAPSE),type(s) of chemotherapy/hormonal therapy the patient received (postsurgical),,,,,,,,,,,,
IDH1, ,IDH1_respond,,,,,,,,,,,,
MGMT,MGMT_STATUS,MGMT_respond,,,,,,,,,,,,
codel_1p19q, ,1p19q,,,,,,,,,,,,
EGFR, ,EGFR,,,,,,,,,,,,
EGFRvIII, ,,,,,,,,,,,,,
Exclude,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,
